
272.7	23.5
124.5	13.6
225.8	32.9
166.4	81.4
215.6	21.9
345.7	67.9
214.4	40.8
325.6	57.8
356.2	33.5
 78.3	18.7
108.0	50.3
201.5	39.3
 88.4	57.9
 97.0	55.5
196.2	21.1
342.6	36.8
311.0	47.0
269.6	 8.0
199.1	62.3
113.7	 5.2
 10.6	49.9
329.0	74.2
202.9	 6.7
 46.9	46.9
 38.8	23.0
101.1	 3.0
348.2	 8.6
315.2	30.7
203.1	55.7
 44.3	23.0
 15.0	35.1
 97.8	41.2
206.6	51.1
111.4	 4.1
182.9	58.2
221.2	80.0
155.4	41.5
  6.1	42.3
 46.3	67.9
219.9	23.0
 82.1	48.2
115.9	78.6
  7.7	37.0
 51.3	38.5
110.0	 9.5
338.3	21.1
335.5	59.0
 75.0	 0.0
354.6	 6.2
 36.3	64.9
290.2	51.0
217.7	26.0
290.4	 3.9
 33.3	24.8
 40.9	58.0
 50.3	49.6
124.4	11.2
235.0	21.4
157.3	49.1
 99.2	43.6
 33.8	12.9
244.3	18.5
219.1	59.0
247.8	33.9
235.2	45.1
246.3	23.8
 59.1	 5.7
236.4	54.0
227.9	29.8
  1.3	46.6
315.4	47.8
144.5	55.9
 86.3	78.7
 39.7	37.0
154.1	14.3
306.0	14.2
344.0	53.4
269.0	30.2
290.9	31.8
341.4	34.9
 29.2	20.6
280.0	 1.0
203.8	28.9
 76.4	 8.2
211.8	10.9
351.0	22.7
 58.7	16.2
203.9	 6.7
294.8	 5.2
 66.9	26.5
253.1	 4.2
 82.2	57.0
335.1	30.3
172.7	41.5
150.0	25.0
163.6	57.4
244.3	 9.2
262.1	12.2
342.1	47.9
320.0	 0.8
308.7	17.9
 84.0	15.7
179.8	29.5
211.6	64.7
 49.4	16.8
 35.8	39.9
328.0	34.5
359.1	25.8
117.0	63.1
 60.0	 2.8
304.1	24.1
 50.9	59.6
227.2	35.8
247.6	24.5
 92.7	51.8
 29.3	64.5
172.8	15.1
133.9	17.8
310.6	21.0
153.2	60.6
113.6	21.0
281.4	38.3
177.8	16.4
270.8	13.2
155.4	39.1
148.4	13.6
329.3	80.5
147.6	41.4
282.9	69.5
251.9	13.0
328.8	20.7
212.8	13.9
109.9	13.7
 83.5	42.3
 18.0	 0.9
119.7	51.1
 86.5	74.5
322.7	49.0
115.5	39.5
212.5	61.7
 45.1	76.0
 43.0	 0.0
182.9	28.0
333.7	23.2
206.0	 1.0
  8.9	 4.2
 29.1	32.4
352.4	51.2
 84.6	 8.7
208.6	43.3
